NAME	delta	alpha	gamma	ductal	acinar	beta	PSC	endothelial	mast
ANXA1	1	1	1	1	1	1	230.476927611778	1	546.480543031183
ANXA11	1	1	1	44.8206494897175	22.5966196061289	1	1	1	888.187172041187
ANXA2	1	44.8206494897175	11.461094137156	1465.0202654087	1	1	426.740797180598	969.177381313156	1
ANXA2P1	1	1	1	62.1722431911048	1	1	1	81.4443784449922	1
ANXA2P2	1	14.6044003680757	6.68521432155558	613.48653829629	1	1	10.3319483231059	475.826166303532	1
ANXA2P3	1	3.84638052871252	1	170.971852939914	1	1	1	72.6489541865783	1
ANXA3	1	1	1	4741.471027635	1	26.4407367503284	1	1	1
ANXA6	1	13.8746877116554	1	1	1	1	283.119247526842	1	1
AP1AR	1	1	101.623358226436	1	1	1	1	1	178.11437902961
AP1M1	42.3800855077632	1	1	1	1	1	72.7156984024611	1	1
AP1M2	1	272.44855916861	443.078617559835	36.8095495483691	256.322945462552	1	1	1	1
AP3S1	1	263.081317411994	1	1	22.9654157332304	1	1	1	1
APBB1	1	37.1862146761693	86.4479380786063	1	2.93876896010994	233.75659656628	1	1	1
APC	1	81.2020218498555	37.4518299889154	1	2.93876896010994	1	1	1	1
APEH	1	1	1	2758.70701667544	1	328.497353853272	1	1	1
APEX1	1	1	1	235.645963858367	227.358176007564	1	1	1	848.708897424246
APH1B	1	1	5.69004314536108	1	1	542.912453338858	1	1	1
APLP1	142.018121951238	303.877299440307	370.917874359465	1	1	334.10893356178	1	1	1
APLP2	867.044653239889	1	817.246894923458	27.7565024923592	80.1331759724513	1	31.9304378926981	379.972995716254	1
APMAP	680.009195777535	325.600360751219	1411.68057289981	27.7565024923592	1.82950935132403	318.911596440299	1	567.004666584161	1
APOL2	357.074342137337	315.124326572166	47.1973350041364	1	413.407789540086	1	40.9160323040027	1	1
APOO	1	1	22.5966196061289	1	1.95145786500101	1	178.160707274146	1	1
APOOL	1	1	162.0956244005	27.7565024923592	1	391.920021811003	1	1	141.698546766794
APPL2	433.391618552672	1	24.5659039198256	1	1	1	1	1	1
APRT	13.4241547771542	27.5375515060741	1	727.652945072991	623.376080297321	1	24.2198999528456	370.57029378576	1
APTX	24.8675979694282	1	1	27.7565024923592	11.461094137156	389.064608540161	1	1	648.357891444857
AQP3	2915.89960020196	1	37.069290925921	1	1	1	1	1	1
ARAF	6.0719303069563	693.448392290334	1	27.7565024923592	1.98259487912124	77.3035726413021	78.7353593005756	1	1
AREL1	70.5104354015836	120.156227870871	1	1	1	1	13.3793061056723	1	1
ARF3	31.0810053147721	500.281526644907	1	44.8206494897175	28.25221961992	1	12.7549109423651	1	1
ARF5	576.472723349764	47.5083897781004	25.5265088014397	1	28.8283668097774	42.0294051844831	265.373279988341	1	1
ARFGAP1	2.06668270487119	26.2703760849542	1	246.246619503805	40.7611548951674	1	1	1	1
ARFGAP2	40.9160323040027	458.450861476028	142.259606249334	1	1	1	75.9895974450997	1	1
ARFGAP3	1	1	26.3528392915526	27.7565024923592	469.994290534659	471.811148509026	26.679335192282	1	1
ARFGEF2	1.95145786500101	5.94966791227096	1	123.660982085853	1	1	9.78485483679192	1	1
ARFIP1	1	1	1	1	29.9858235187059	179.667125758612	1	1	1
ARFIP2	6.87811326886608	294.462283699937	1	1	30.2334060325089	346.623073397623	7.44705554438836	1	1
ARHGAP12	1.25791120468292	16.3546267036859	1	1	63.1416970212685	1	1	1	1
ARHGAP17	1	3.98971630068269	23.0960598756139	277.684125853807	37.9519492655037	1	1	1	1
ARHGAP18	13.079658025263	1	1	27.7565024923592	1	14.3504985673313	1	1304.52810667774	1
ARHGAP29	1	28.3488473290901	1	1	1	1	1	377.669618956643	1
ARHGAP5	217.716714588256	46.9937981067883	1	141.492346586633	1	1	62.7890337819973	1	1
ARHGDIB	1	1	1	1	1	1	1	188.610742582664	417.075917867115
ARHGEF1	1	197.007005028894	1	1	1	1	30.5881646093384	1	136.135043598677
ARHGEF10L	118.576290375744	1	1	27.7565024923592	11.8079914014723	1	1	1	1
ARHGEF40	1	1	1	36.8095495483691	31.1783750884905	1	1	1	440.541985455367
ARHGEF7	1	1	29.1951482334194	27.7565024923592	1	1	470.75542773007	1	1
ARID1A	1	600.961883612657	1	1	154.849225174533	1	6.30728942293039	81.4443784449922	1
ARID1B	1.98259487912124	1	7.08342262315415	1	36.0224445533026	25.0634392489032	44.8206494897175	221.323415798525	1
ARID4A	10.035371689736	1	1	1	1	1	1	1	613.48653829629
ARID4B	1	10.035371689736	47.6653620253396	1	27.8285149763047	1	45.2886482368648	363.748687275969	1
ARID5A	1	1	1	1	37.1862146761693	255.7179718483	9.78485483679192	1	1
ARID5B	509.467834571851	1	70.4047697693823	1	1	1	45.2886482368648	1	1
ARIH1	1	9.78485483679192	1	858.456978683118	1	1	37.0233358660027	1	1
ARIH2	78.6642643881336	160.948706894584	1	1	1	1	1	1	1
ARL13B	38.0368731873501	1	117.476602169227	1	1	1	1	1	1
ARL16	304.435602207791	1	1	1	2.88516334895127	30.6896663125392	213.622607959923	1	1
ARL2BP	1	315.124326572166	194.391124241334	1698.67287158703	29.9858235187059	1	1	492.859517729801	1
ARL4C	1	1	1	27.7565024923592	1	1	192.834832956593	1	1
ARL5A	1	1	1	1	11.461094137156	27.1649354117453	1	1	369.163049351468
ARL6IP1	2.93876896010994	1020.45413666453	174.184800890732	36.8095495483691	288.646721583794	65.8752198613896	1	1	1215.41386478547
ARMC1	67.3994678589121	7.4353472902976	136.509491996496	1	23.7661056389817	1	1	1	1
ARMCX3	5.21959094160591	36.2925931962503	82.7216527704153	1	1.91144360829687	72.5823854431759	7.25728986582262	1	531.076874395978
ARNT2	2.06668270487119	712.87322641761	1	1	1	1	1	1	1
ARPC1A	14.1775360560325	1	1	1	26.2256098778256	403.0504219469	1	337.692165943794	1
ARPC5L	2.13348763788494	1	1	1	74.2535009949923	32.3786523419705	1	1	1
ARPP19	213.951710494508	24.1691199625152	1	848.708897424246	15.6594573492292	1	232.615643507709	1	1
ARRDC3	1	1	1	41.3626172641749	1	1	1	72.6489541865783	1
ASAP3	1	1	1	1	29.1068976045494	1	272.627746246554	1	1
ASB8	29.1068976045494	1	47.1973350041364	1	1	1	1	1	721.102537599953
ASCC1	2.14501511403773	1	1	1	1	263.878119707086	1	1	1
ASCC2	27.7565024923592	451.633034200019	1	1	1.98259487912124	1	13.6722168627836	1	815.963941426763
ASCC3	1	1	6.0719303069563	1	32.0753566219517	269.793695214157	1	1	1
ASNA1	44.2755636804153	42.2593635195779	486.99784002565	1	1	38.0704927503846	32.6632530436496	1	1
ASNS	28.5536138737438	1	1	246.246619503805	134.792059501243	409.037808614654	29.0547778901449	1	1
ASNSD1	1.25791120468292	202.017404748052	1	1	22.9654157332304	1	44.2755636804153	1	1
ASS1	1.96075891712899	24.1691199625152	1	598.734797711202	6.95052767156611	1	1	1	1
ATAD1	3.0022539234545	1	1	1	1.95145786500101	311.559847691929	26.0405440761907	1	1
ATF6	1	1	142.259606249334	1	3.93714286986203	1	26.4107727931744	1	310.159845662351
ATG10	5.21959094160591	1	1	41.3626172641749	1	179.667125758612	1	1	1
ATG12	22.5966196061289	568.136098204565	1	36.8095495483691	25.2018101086914	16.3742588306442	13.6722168627836	1	1
ATG2B	24.8675979694282	1	79.8577275241666	1	1	1	1	1	1
ATG3	41.8764750258732	1	303.877299440307	1	24.497751579898	1	1	1	1
ATL3	294.462283699937	1	1	70.5104354015836	12.7080728031323	1	24.042674718475	1	1
ATM	1	36.5639572714536	1	213.294011653954	6.36816306861027	1	23.2793254559816	1	1
ATN1	1	1	1	41.3626172641749	1.89392532697337	1	264.32621890754	1	1
ATOX1	318.703048492632	22.3026090806299	1	1	28.8283668097774	23.5606998617196	45.6767286586428	1	1
ATP13A2	6.42199946682282	1	1	1	184.247611531205	1	1	1	1
ATP13A3	270.416759146182	28.6243890792203	13.6722168627836	1	1	1	1	1	1
ATP1B3	1	1	263.430780147104	1	25.2018101086914	1	586.600063821469	752.848733899971	446.097202763878
ATP2B1	1.25791120468292	40.7611548951674	1017.92479210218	1	12.7080728031323	411.199551057285	26.8556484133205	1	1
ATP2C1	1	1	495.118465619642	1	2.13348763788494	1	1	1	1
ATP5D	1	25.9512061698503	14.7434572565493	1	82.7216527704153	13.1188390421162	70.6180178825896	1	401.343256454612
ATP5F1	365.157744170335	11.0989420150932	232.377210625434	27.7565024923592	67.6233577713485	1	1	1	1
ATP5G1	23.3559052324408	44.5474522989666	32.3786523419705	620.925090022565	37.9519492655037	27.1649354117453	1	1	1
ATP5S	3.84638052871252	1	1	1	2.93876896010994	9.80490011639021	1	1	414.582540927985
ATP6AP1	1381.43586407206	1985.47280545201	758.52265702567	36.8095495483691	32.4965163275961	2915.89960020196	44.2755636804153	1	1
ATP6V0A1	32.0753566219517	249.955666664698	1	41.3626172641749	16.4517082445072	1	1	1	1
ATP6V0A2	1	15.2306879662062	1	1	22.9654157332304	29.9858235187059	1	1	1017.92479210218
ATP6V0D1	486.99784002565	41.7621119869275	37.069290925921	512.387658288208	81.5166874795063	1	1	1	1
ATP6V1D	675.187113411315	1	45.5602561312417	1	271.747681620511	67.6493850350135	67.8368345406018	1	1
ATP6V1E1	379.478202260736	1	848.708897424246	1	41.32827412625	40.7611548951674	541.986281289868	1	1
ATP6V1H	311.559847691929	133.253348382861	1	27.7565024923592	15.6594573492292	1	1	1	1
ATP8B5P	1	5.40026815236344	1	1	1	1	1	67.6233577713485	1
ATP9A	78.6642643881336	613.736438722315	495.118465619642	1	1	401.884064508116	1	1	1
ATXN10	731.821595505428	74.6507111230795	1	1	2.09215931873355	639.433229963754	1	1	1
ATXN1L	1	171.175362101286	1	1	1	1	145.530770255827	1	1
ATXN7L3B	1	310.388835696267	1	302.074845163161	1	446.722323901072	1	1	1
AXL	1	1	1	1	1	1	383.441647481237	1	149.778874579484
AZGP1	1	1	1	27.7565024923592	853.877792377934	1	1	1	1
AZI2	486.99784002565	65.8752198613896	1	1	27.8285149763047	1	237.497102880431	1	1
AZIN1	136.509491996496	759.2631334178	1017.92479210218	572.381857235285	1	9.80490011639021	1	1	1
B3GALNT2	11.461094137156	36.0224445533026	36.756077620743	1	373.349660584118	145.570876656553	1	1	1
B3GALT6	6.87811326886608	1	1	1	2.14501511403773	1	1	243.523161564511	1
B3GNT7	1	1	10.2617726557488	27.7565024923592	116.451020851472	37.0233358660027	1	1	1
B4GALT3	1	1	1	1	7.4902757744844	1	391.477378079481	1	1
B4GALT7	3.84638052871252	11.8733070288323	22.5966196061289	771.540890203835	70.5644315789874	1	10.7180364516208	1	1
BABAM1	153.877194228069	1	1	1	27.8285149763047	1	72.7156984024611	1	449.866188177749
BACE2	1	128.491879303173	1	1	321.225386050286	1	1	1	1
BAD	291.961303761483	1	30.4537143394185	1	42.0294051844831	1	29.0547778901449	1	1
BAG4	13.4241547771542	224.915037828558	1	1	1	1	1	1	1
BAHD1	1	1	1	1	1	40.4428904447207	415.674991346517	1	1
BAIAP2L1	1	1	1	1	333.057377512885	1	46.9937981067883	1	1
BAIAP3	47.6653620253396	554.229613681294	1	1	1	1	1	1	1
BAZ1A	1	1	1	393.54886365992	14.8873966220666	1	1	1	424.242592122924
BAZ1B	1	26.7728846301167	1	123.660982085853	1	1	1	1	1
BAZ2A	1	240.464456611004	1	1	1	311.559847691929	1	1	1087.68303981019
BBS1	433.391618552672	44.2033345464001	1	1	1	1	1	1	1
BBS4	1	1	1	1	216.145737247323	1	1	908.75773187007	1
BBS9	6.0719303069563	1	62.7290253619473	1	1	1	1	1	1
BCAP29	32.3786523419705	7.4353472902976	1	1	31.824171082701	1	10.3319483231059	1	246.246619503805
BCAR1	1.91144360829687	1	1	170.971852939914	7.08342262315415	1	1	1	1
BCKDHA	1	1	1	1	356.914013392444	47.1973350041364	1	1	1
BCKDK	47.1506205486241	398.119286194829	337.546233794366	157.892986832175	1.6696433958302	1	1	1	1
BCL10	1	1	7.31339372263386	1	80.1331759724513	29.7174184135053	41.5627654763966	334.184967869485	1
BCL2L1	1	1	409.208318022195	369.163049351468	1	26.0405440761907	1	1	1
BCL2L13	1	1	1	116.268799900911	1	371.422310452947	40.3235093574183	1	1
BCL2L2	1	1	1	1	11.0989420150932	1	1	192.834832956593	1
BCL7B	10.6668303017879	1	1	1	1	445.032642051478	1	1	1
BCLAF1	186.199731886558	3.84638052871252	1	1	1	1	1	1	1
BDP1	1	1	47.6653620253396	415.515431810701	1	1	1	364.671223599576	1
BECN1	1	11.5863941062244	256.885274275368	27.7565024923592	86.4479380786063	45.3603991087449	1	1	1
BET1L	1	476.270471697858	288.258723994123	1	1	1	1	1	1
BEX1	1181.33673553299	952.519802174682	714.47881636862	27.7565024923592	1	269.793695214157	1	1	1
BEX2	451.439913339119	155.511296366189	7.31339372263386	1	2.07956092476531	255.7179718483	1	1	1
BEX4	763.496957987702	855.756099291607	507.800894632236	1	1	27.1649354117453	1	1	1
BEX5	12.1900789566587	13.079658025263	194.391124241334	1	1	36.7868859460568	1	1	1
BFAR	1	1	1	1	6.21948535281289	1	182.935155866424	1	656.207344525075
BICD2	1.29412880243573	13.6506461229437	1	1	1	1	204.901836244155	137.411826661001	1
BID	1	1	1	1	170.704058028177	318.911596440299	24.042674718475	432.803496453326	1
BIN3	1	7.1760961684829	16.0892455777331	1	1	198.739952983651	1	1	1
BIRC6	2.02621242813493	188.610742582664	1	1	1	1	1	1	1
BLOC1S2	2.10449169536043	354.539471691789	1	1	1	1	67.6233577713485	1	1
BLOC1S6	2.74520976802821	1	187.911722775659	1	1.78748310164921	158.286210237875	15.0325456822097	1	1
BLVRA	1	1	15.8487172190994	36.8095495483691	1	37.8326923366447	29.7174184135053	1	421.350639522232
BMP1	1	1	1	1	32.0753566219517	1	554.229613681294	1	1
BMP5	1	1	605.688750665412	1	1	11.461094137156	1	1	1
BMS1P4	1	1	1	1	1	15.0132027107676	1	1	247.256524358194
BNIP3	13.079658025263	13.6506461229437	1	1	546.480543031183	13.6506461229437	1	88.6594532203119	1
BOD1L1	2.00595458073476	67.7465039028293	1	1	1.97624124011683	1	1	1	1
BOLA1	2.07956092476531	1	1	1	179.713640104105	1	1	1	1
BRAP	40.4028416242975	1	337.546233794366	1	1	120.938083107152	7.44705554438836	1	1
BRAT1	1.72228426633574	1	1	27.7565024923592	1	1	338.661961595606	331.916404005014	1
BRD2	2.14501511403773	1	1	262.713296822847	1.78748310164921	32.2131505562984	30.1875515225993	1	1
BRD3	1	24.8291254598381	11.461094137156	1	1.69671814827155	1	175.970150576765	1	1304.52810667774
BRD8	1	1	1	36.8095495483691	1	760.004332669403	1	1	1
BRE	1	1	299.88689624072	1	1	1	40.1300439501802	1	471.063814834237
BRF1	1	1	1	225.375316512243	1	1	1	85.6440272931801	1
BRIX1	2.80662038277471	1	1	1	1	255.7179718483	1	1	1
BRMS1	361.851792597001	6.68521432155558	1	170.971852939914	1	1169.8579978106	1	1	1
BROX	493.652048830657	1	762.801299503242	1	1	31.3784943659735	1	559.276239649042	1
BSDC1	1	171.175362101286	11.8733070288323	1	1	414.582540927985	1	956.623317084349	602.00720272454
BTAF1	29.1068976045494	1	1	1	216.145737247323	1	1	1	1
BTBD1	6.68521432155558	1	1	27.7565024923592	1	12.8440892905643	1	1	511.624511460705
BTBD10	1	227.930712226793	1	1	1	77.3035726413021	1	1	288.258723994123
BTBD3	1	1	1	1	1	280.863080313413	37.8326923366447	1	1
BTBD9	117.559051294239	1	1	36.8095495483691	2.88516334895127	170.246414346537	1	1	763.496957987702
BTD	1	36.9880027186466	232.377210625434	27.7565024923592	6.36816306861027	1	1	1	1
BTG1	1.77872219599391	218.452318134953	16.3742588306442	27.7565024923592	25.6125070052356	15.4286870878793	548.802660903684	1	1
BTG2	1.89392532697337	12.1900789566587	142.259606249334	1	269.225215762915	1	1	1	1
BTG3	547.688056402077	44.9684065600631	1	1	1	204.76435398502	1	1	1
BTN2A1	1	1	1	1	1	1	37.9519492655037	1	703.334192207076
C10orf10	496.05237025395	1	25.0634392489032	41.3626172641749	708.54850877578	780.373717774732	1	1	1
C10orf35	1	1	1	904.424857383068	3.84638052871252	1	1	1	1
C11orf24	1	1	29.1951482334194	1	1.77872219599391	88.7228793776784	517.268358700962	1	1
C11orf30	1	1	1	1	1	1	44.8206494897175	201.213952126226	1
C11orf31	42.114050469733	7.08342262315415	15.4667047046232	1	2.88516334895127	263.878119707086	82.0799593138302	598.200158579076	1
C11orf49	548.802660903684	1	41.9473216256062	1	1	36.5128426851965	1	1	1
