"cell_ID","cell_type","cell_subtype","tumor_state"
"ductal.28","ductal","ductal-28",1
"alpha.151","alpha","alpha-151",1
"alpha.152","alpha","alpha-152",1
"alpha.153","alpha","alpha-153",1
"beta.63","beta","beta-63",1
"ductal.29","ductal","ductal-29",1
"delta.29","delta","delta-29",1
"acinar.25","acinar","acinar-25",1
"alpha.154","alpha","alpha-154",1
"gamma.26","gamma","gamma-26",1
"ductal.30","ductal","ductal-30",1
"endothelial.2","endothelial","endothelial-2",1
"alpha.155","alpha","alpha-155",1
"ductal.31","ductal","ductal-31",1
"alpha.156","alpha","alpha-156",1
"alpha.157","alpha","alpha-157",1
"alpha.158","alpha","alpha-158",1
"beta.64","beta","beta-64",1
"alpha.159","alpha","alpha-159",1
"delta.30","delta","delta-30",1
"ductal.32","ductal","ductal-32",1
"alpha.160","alpha","alpha-160",1
"alpha.161","alpha","alpha-161",1
"alpha.162","alpha","alpha-162",1
"delta.31","delta","delta-31",1
"alpha.163","alpha","alpha-163",1
"ductal.33","ductal","ductal-33",1
"endothelial.3","endothelial","endothelial-3",1
"alpha.164","alpha","alpha-164",1
"alpha.165","alpha","alpha-165",1
"alpha.166","alpha","alpha-166",1
"alpha.167","alpha","alpha-167",1
"alpha.168","alpha","alpha-168",1
"delta.32","delta","delta-32",1
"beta.65","beta","beta-65",1
"alpha.169","alpha","alpha-169",1
"ductal.34","ductal","ductal-34",1
"ductal.35","ductal","ductal-35",1
"alpha.170","alpha","alpha-170",1
"alpha.171","alpha","alpha-171",1
"ductal.36","ductal","ductal-36",1
"ductal.37","ductal","ductal-37",1
"ductal.38","ductal","ductal-38",1
"ductal.39","ductal","ductal-39",1
"alpha.172","alpha","alpha-172",1
"beta.66","beta","beta-66",1
"alpha.173","alpha","alpha-173",1
"ductal.40","ductal","ductal-40",1
"beta.67","beta","beta-67",1
"ductal.41","ductal","ductal-41",1
"alpha.174","alpha","alpha-174",1
"PSC.3","PSC","PSC-3",1
"delta.33","delta","delta-33",1
"delta.34","delta","delta-34",1
"alpha.175","alpha","alpha-175",1
"alpha.176","alpha","alpha-176",1
"alpha.177","alpha","alpha-177",1
"alpha.178","alpha","alpha-178",1
"alpha.179","alpha","alpha-179",1
"alpha.180","alpha","alpha-180",1
"beta.68","beta","beta-68",1
"alpha.181","alpha","alpha-181",1
"delta.35","delta","delta-35",1
"alpha.182","alpha","alpha-182",1
"ductal.42","ductal","ductal-42",1
"alpha.183","alpha","alpha-183",1
"beta.69","beta","beta-69",1
"delta.36","delta","delta-36",1
"alpha.184","alpha","alpha-184",1
"alpha.185","alpha","alpha-185",1
"delta.37","delta","delta-37",1
"ductal.43","ductal","ductal-43",1
"alpha.186","alpha","alpha-186",1
"alpha.187","alpha","alpha-187",1
"PSC.4","PSC","PSC-4",1
"alpha.188","alpha","alpha-188",1
"ductal.44","ductal","ductal-44",1
"ductal.45","ductal","ductal-45",1
