Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
W070517001156	0.118839520757889	0.657958851999988	0.169349117742796	0	0.00481754058733455	0.0490349689119916	0	0.850937878617593	0.684838930929071
W070517001157	0.00418455649532101	0.323436558083642	0.543969454070847	0	0.0434970886907557	0.0849123426594344	0	0.799646030689663	0.600546184556515
W070517001159	0.145141368620023	0.530934602281717	0.147563267936165	0	0.0813846725110549	0.0949760886510403	0	0.781121082751702	0.716490409088099
W070517001160	0.115550194015891	0.336783154834887	0.479011260697074	0	0.0210777874374761	0.047577603014672	0	0.769619954021731	0.638405201472872
W070517001161	0.333607288745896	0.406459059391587	0.16990736766247	0.0166859218444815	0.0446556324213919	0.0286847299341729	0	0.842272526874955	0.540375445411994
W070517001162	0.187335668036824	0.221697612460419	0.462674252200938	0.00355670146513096	0.0645223764841239	0.060213389352564	0	0.841419942090376	0.587082343722377
W070517102034	0.125772131820222	0.25623543260953	0.524614382158534	0	0.0378189758398205	0.0555590775718937	0	0.846101152141831	0.565579005492146
W070517102035	0.125389567254402	0.394148340436406	0.406797293086918	0	0.0386021152170816	0.0350626840051917	0	0.758820351596978	0.65755131781295
W070517102036	0.184790710530006	0.40343985119844	0.335525988731999	0	0.017746614811976	0.0584968347275797	0	0.876002330373076	0.482751688362523
W070517102037	0.151438583628176	0.240332410342108	0.474519015343777	0.0226853893109208	0.0641985835593088	0.0468260178157092	0	0.886312885210424	0.532037272446792
W070517102038	0.121128732421694	0.355384782308117	0.40944239804029	0	0.068295895954022	0.0457481912758767	0	0.804061858615373	0.594439068777619
W070517102051	0.151703636126485	0.500838110794351	0.241151760168027	0	0.0316594485746731	0.074647044336464	0	0.821785511744866	0.620086808914849
